12/11/2024                                                                                                                                                                               Dynamic List Display                                                                                                                                                                                       1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTL Direct Material Stock Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Material,Material,Customer,Material description,Size,Unit/Strip,Plant,SLOC,Batch,Revision,Shipment Date,Shipment,Ship No.,Vendor Batch,Manu.Date,Shlf.Date,GR.Date,Vendor,Vendor Name,QI.Qty.,Unres.Qty.,Reserve Qty.,Available Qty.,Block Qty., Total,Remark,Manufacturer
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR03,12398482,,12/06/2024,196772014/01,061224196772014/01,1B4LAB8238,11/12/2024,11/12/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,297,0,297,0,297,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,130,DC02,12398488,,12/06/2024,196772013/04 (10CC),061224196772013/04 (10CC),1B4LAE8236,11/12/2024,11/12/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,465,0,465,0,465,,
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,130,DC02,12398495,,12/06/2024,196772013/05 (10CC),061224196772013/05 (10CC),1B4LAA8238,11/12/2024,11/12/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,624,0,624,0,624,,
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,130,DC02,12398501,,12/06/2024,196772013/06 (10CC),061224196772013/06 (10CC),1B4LAA8237,11/12/2024,11/12/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,910,0,910,0,910,,
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR04,12398502,,12/06/2024,196772014/02,061224196772014/02,1B4LAB8240,11/13/2024,11/13/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,171,0,171,0,171,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR06,12398527,,12/06/2024,196772014/03,061224196772014/03,1B4LAA8240,11/13/2024,11/13/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,764,0,764,0,764,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR04,12398567,,12/06/2024,196772014/04,061224196772014/04,1B4LAA8242,11/13/2024,11/13/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,890,0,890,0,890,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR06,12398584,,12/06/2024,196772014/05,061224196772014/05,1B4LAA8239,11/13/2024,11/13/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,938,0,938,0,938,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR06,12398590,,12/06/2024,196772014/06,061224196772014/06,1B4LAA8241,11/13/2024,11/13/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,938,0,938,0,938,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR04,12398599,,12/06/2024,196772014/07,061224196772014/07,1B4LAA8245,11/15/2024,11/15/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,187,0,187,0,187,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR04,12398605,,12/06/2024,196772014/08,061224196772014/08,1B4LAD8243,11/15/2024,11/15/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,887,0,887,0,887,,-
